Tarih,AKP,CHP,IYI,HDP,MHP,DEVA,GP,SP,MP,TIP,ZP,YRP
24-10-2020,32.6,28.2,12.7,11.6,8.9,3.2,2,0.3,
27-10-2020,38,24.6,11.6,8.8,8.7,2.3,2.4,1.4,
30-10-2020,37.7,23.8,12.1,11.6,11,1.5,0.7,0.9,
02-11-2020,37.5,20.1,16.2,11.3,9.3,2.9,1.1,0.6,
09-11-2020,38.2,23.1,11.5,11.4,10.6,2,1.2,1.3,
18-11-2020,36,24.9,13.6,9.5,9.1,3.4,1.5,0.8,
26-11-2020,42.1,22.8,10.1,9.7,10.3,1,0.6,1.7,
29-11-2020,36.2,23.7,13.7,10.4,9,3.5,1.7,1.5,
30-11-2020,33.2,26.4,13.4,11.5,8.6,2.8,2.8,0.9,
01-12-2020,36.1,25.4,10.4,9.3,12.7,1.9,2.5,1.1,
05-12-2020,36.6,26.2,9.6,10.2,8.8,6.6,,,
05-12-2020,39.7,18.7,14,11.3,9,4.2,1.1,0.7,
09-12-2020,34,26.7,11,10.5,11.2,2.1,2.7,1.2,
10-12-2020,41.3,22.4,11.2,10.4,9.1,2.2,0.8,1.5,
18-12-2020,39.3,22.4,8.5,10.4,10.5,3.1,0.7,1,
22-12-2020,37,24.8,12.5,9.2,8.8,2.2,2.5,1.5,
28-12-2020,33.3,26.6,13.5,10.5,10,2.5,2.8,0.6,
03-01-2021,38.9,25.4,11.3,11.1,7.6,2.2,1.7,0.8,
05-01-2021,34.8,27.2,13.1,8.9,9,3.1,1.8,1.6,
06-01-2021,36.2,20.3,16.7,10.5,9.1,3.6,1.3,0.6,
10-01-2021,35,25,13,10.7,9.5,2.5,2.6,0.8,
26-01-2021,35.6,24.9,13.6,8.9,8.5,2.3,2.5,1.6,
27-01-2021,35.6,25.3,13.4,10.5,8.1,2.9,3,0.9,
28-01-2021,40.5,22.6,10,10.6,10.8,1.6,0.5,0.9,0.3
29-01-2021,38.7,19.8,11.5,9.5,9.6,2.5,1.8,1.2,
06-02-2021,37.2,26.0,12.3,9.8,8.5,1.4,1.1,2.2,
08-02-2021,39.3,22.6,13.1,10.2,10.5,,,1.2,
10-02-2021,34.1,27.3,14,10.1,7.5,2.4,2.7,1.4,
13-02-2021,35.2,21.1,15.6,10.6,9.6,3.8,1.7,1,
15-02-2021,35.2,26.5,12.9,9.9,9,2.5,1,1.5,
19-02-2021,36.8,22.3,10.8,8.2,11.6,2.1,2.6,1.3,
23-02-2021,41.7,21.8,10.3,9.3,11.6,1.8,0.4,0.8,
25-02-2021,37.6,20.9,9.9,12.7,10.6,1.9,1.6,1.2,0.2
26-02-2021,36.1,24.1,14,10.1,10,1.6,1.4,1.3,
03-03-2021,34.8,26.2,13.1,9.1,7,2.5,2.7,0.7,0.4
08-03-2021,36,26.3,13.5,8.7,9.9,2.1,1.9,1.1,
11-03-2021,35.4,22,16.5,11.3,8.3,2.9,1.2,1.2,
14-03-2021,34.4,26.2,13.9,9.6,7.2,2.7,2.8,0.8,0.2
14-03-2021,39.4,22.1,12.1,11.3,9.1,1.9,,1.4,
24-03-2021,38.4,24.4,10.3,11.5,10.5,1.3,0.3,0.7,0.3
31-03-2021,33.2,26.8,13.8,9.7,6.9,2.9,3.1,1.3,
01-04-2021,35.1,24,14,12,9.4,1.6,1.2,1.9,
08-04-2021,37.2,20.6,9.4,12.9,10.3,3.6,2.5,1.2,
13-04-2021,36.1,23.3,15.3,11.3,8.6,2.7,1.1,0.7,
13-04-2021,34.7,25.9,12.8,10.7,8.3,2.2,1.7,1.2,
17-04-2021,32.5,27.3,13.1,10.1,7.6,3,3,1.8,
18-04-2021,38.2,23.3,12.1,11.1,9.5,1.6,,1.2,
22-04-2021,33.7,26,13.6,10.7,7.2,2.9,3,1.3,
30-04-2021,34.4,25.3,14.6,10.3,8.8,3.1,1,1,
02-05-2021,32,26.8,13.6,11.3,7.5,3,3,1.3,
05-05-2021,36,26.7,13.5,10.2,7.8,1.4,0.5,0.7,
09-05-2021,32.7,26.1,12.6,10.1,10.2,2.4,1.9,1.3,
